gene,ES2,JHOC5,MOLM13,MV411,TOV21G
ABHD3,0.5941797974910913,0.9374074771175887,0.7455864304151528,0.34606594648091094,1.607204650475065
ABHD4,0.6155625771734483,0.6900822174220358,0.7057331291477653,0.44032956126021083,3.2499729956000523
ABHD5,0.6939856909722988,0.7106480631699751,0.8065462935734572,0.3245531281936309,3.0228930277801376
ABHD6,1.6700515623687475,1.258458718325391,0.6093792344260794,0.21309003293985704,0.7766734819602493
ABHD8,0.2876666808954984,0.8374665814408446,0.9701064839300013,1.063288967436325,1.7295045726161722
ABI1,0.7370800438582024,0.6409003121204953,1.64559263747373,0.6686918978971456,3.016304511409943
ABI2,0.890288183502203,1.6129400426291431,0.8207506962119134,0.356517352984349,3.0278632727916666
ABI3,0.9297291650262298,1.0320850377605155,0.9391760553191291,0.428429938422815,0.9341487646993853
ABI3BP,0.6554059665544032,0.6347079046310129,0.5910801178977616,0.5290074401618552,2.030454100487195
ABITRAM,0.7028965136504187,2.2419449781439162,1.0568110406996254,0.7190428740203836,1.9689825607592049
ABL1,1.0350379736318773,1.4959417281121392,0.641286186012215,0.1820155202972587,3.1031956880021494
ABL2,0.7713011151807925,1.3397568085562392,0.7954204459584455,0.5404077864629028,2.1133020124092288
ABLIM1,0.8189802807156589,1.2861781848183047,0.949343748832139,0.43456854680710566,2.5531076500745824
ABLIM2,1.3124809101813166,1.4525451858483935,0.9108907050453727,0.6659066423257033,2.187150513936715
ABLIM3,0.6272186373933867,1.2609223297525685,0.4550704691187243,0.6252698198856123,2.265667453813109
ABR,0.6758156023305588,1.2386897437454363,0.7682197260846428,0.37793212227093564,1.423464174017322
ABRA,1.2610152692831917,0.4834030011023309,0.437429953898146,0.28724900926490454,2.1654840572508034
ABRACL,0.7368502444037107,0.6066290553556275,0.6952496416529752,0.4032298101600416,2.3735028845921113
ABRAXAS1,1.3522889644543952,1.7545888412420847,0.7906998536883952,0.541042476138,2.4565714164761587
ABRAXAS2,0.9888038216970024,0.429488831485146,0.9043058209164859,0.3864400336000574,2.681060473112126
ABT1,2.73368322207442,1.2408314679314352,2.009683483106653,0.9778774392191197,1.2557437456695137
ABTB1,0.6183105992589594,0.7918680552287086,0.4905510693293698,0.5476885193136033,2.528422115841508
ABTB2,0.7101923796355936,1.4021750510645665,0.5044827335405704,0.46844172000528417,1.9714368003060703
ABTB3,0.83057403646629,1.6058272017585076,0.5290551324328379,0.42836730074323986,3.3288684894681846
ACAA1,1.4655075205477692,1.1678475877905834,1.4632356978732477,0.3078780164251232,2.432468886821974
ACAA2,0.5894292163818096,1.0762948843965383,0.8038892333854686,0.25733123397491103,3.0265454338586446
ACACA,1.4709196126930837,1.1647535487225678,0.7878810875515945,0.8657477394801617,1.2730536785628976
ACACB,0.7244079477217104,0.40167464602915515,0.5949525938357472,0.6560746060967481,1.6676327762340082
ACAD10,0.8751949800225557,0.9483548572110562,0.6075944542735771,0.3407734363141746,1.8437369251178504
ACAD11,0.6268224594892385,0.9457507273261565,0.3489187517143066,0.2857105019507331,2.6174515656705926
ACAD8,0.4260392080710291,0.8649202656832555,0.5902701037861271,0.4378486951678494,2.8656815450276474
ACAD9,1.4118077058277516,3.2139557436902524,0.7524352896904717,0.814456444933952,3.416835638044089
ACADL,0.7689682772330217,0.7876972184000566,0.5065206072252437,0.47657927148711265,2.29227107635976
ACADM,0.7100440283024679,2.243722395021495,1.1570795186619132,0.6106171571613038,3.259167113093482
ACADS,0.47734180410555194,1.27097207474531,0.8138971664700756,0.7637183118169291,2.780952165207133
ACADSB,0.7088937291617271,0.9505204641658266,0.7055686561003176,0.30643093502652247,2.8547184733320368
ACADVL,1.5491375575938149,1.971218511991244,1.140863971194401,0.4921998909672952,3.0612646502040013
ACAN,0.7524406004923513,0.586007006756801,0.5960430058397527,0.464088611113777,2.7211776129655796
ACAP1,0.7447072993272638,1.3611397893344008,1.0503799946969923,0.5022859252625429,3.096347203940989
ACAP2,0.9894806157363435,1.2797111144037365,1.017602896143365,0.09023139489311395,3.0821557437773994
ACAP3,0.6871000127355398,1.414009188214693,0.7654143967665639,0.6424662626922037,2.5269604438357023
ACAT1,0.7297462945733265,1.192425444098933,0.4984212559168624,0.2239872995322967,2.8349217146206787
ACAT2,0.7694360790763786,0.1957180630507997,1.0395344565838809,0.30915936448709114,3.28874625615794
ACBD3,0.6268221055828649,0.9195733100635013,0.7858246818714834,0.3851774486163278,1.8386191177556954
ACBD4,0.6219858591123595,0.7591926592135824,0.7800049500363525,0.15085253077961852,1.7966169402471046
ACBD5,0.9717048228731294,0.7567609185376559,0.4591500676594419,0.16188837935927225,2.0055486423884727
ACBD6,0.8190017836418922,0.6602353950350849,1.211703237071856,1.3159053424375635,2.911075682374352
ACBD7,1.3943082155170299,0.7669889167537365,0.3107776552222067,0.2761672835897136,1.535508691805851
ACCS,0.900292373193867,0.7767006184165068,0.6227908125185919,0.24080999578081524,1.7846614234822236
ACCSL,1.233146054749291,0.6078512914342756,0.7660941372318241,0.5960843326087715,1.8201683834614428
ACD,0.5639588890593945,2.917966264480585,0.6139888974518464,1.3679214121439827,3.3174607926964246
ACE,1.1784478064817547,1.1344355184623125,0.8130601438508525,0.3858464182527026,1.8806685639231375
ACE2,1.1043593217838457,2.2107810894934814,0.6937931788225853,0.3873341516585048,2.527456503529496
ACER1,0.6575048584429924,0.7794465488703449,0.8367380026729733,0.8341791493900147,2.79164428966757
ACER2,0.44023262048909223,0.34805619115222836,1.1680912914916048,0.8636804334850748,2.6938963534122946
ACER3,0.8505372983122926,0.8060758906233901,0.8762858788662744,0.2551098601416953,1.5273062798341523
ACHE,0.5317839171471566,1.2222266476191557,0.43359616736242795,0.29052461431728455,3.3772102427967785
